BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","ISI:000456188500001","Abualsaud, Khalid; Elfouly, Tarek M.; Khattab, Tamer; Yaacoub, Elias; Ismail, Loay Sabry; Ahmed, Mohamed Hossam; Guizani, Mohsen","A Survey on Mobile Crowd-Sensing and Its Applications in the IoT Era","{IEEE ACCESS}",{7},,"","{3855-3881}",{2019},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","{Mobile crowd-sensing (MCS) is a new sensing paradigm that takes
    advantage of the extensive use of mobile phones that collect data
    efficiently and enable several significant applications. MCS paves the
    way to explore new monitoring applications in different fields such as
    social networks, lifestyle, healthcare, green applications, and
    intelligent transportation systems. Hence, MCS applications make use of
    sensing and wireless communication capabilities provided by billions of
    smart mobile devices, e.g., Android and iOS -based mobile devices. The
    aim of this paper is to identify and explore the new paradigm of MCS
    that is using smartphone for capturing and sharing the sensed data
    between many nodes. We discuss the main components of the infrastructure
    required to support the proposed framework. The existing and potential
    applications leveraging MCS are laid out. Furthermore, this paper
    discusses the current challenges facing the collection methodologies of
    the participants' data in task management. The recent issues in the MCS
    findings are reviewed as well as the opportunities and challenges in
    sensing methods are analyzed. Finally, open research issues and future
    challenges facing MCS are highlighted.}","","{Mobile crowd-sensing; smartphone; data sensor management; Internet of Things; location privacy}","",""
7,"","ISI:000447859300012","Afzal, Muhammad Khalil; Bin Zikria, Yousaf; Mumtaz, Shahid; Rayes, Ammar; Al-Dulaimi, Anwer; Guizani, Mohsen","UNLOCKING 5G SPECTRUM POTENTIAL FOR INTELLIGENT IOT: OPPORTUNITIES, CHALLENGES, AND SOLUTIONS","{IEEE COMMUNICATIONS MAGAZINE}",{56},{10},"{OCT}","{92-93}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","","","","",""
7,"","ISI:000451790900050","Ahmed, Ejaz; Naveed, Anjum; Gani, Abdullah; Ab Hamid, Siti Hafizah; Imran, Muhammad; Guizani, Mohsen","Process state synchronization-based application execution management for mobile edge/cloud computing","{FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE}",{91},,"{FEB}","{579-589}",{2019},"{PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS}","","","","","","","","{ELSEVIER SCIENCE BV}","","","","","","","{Mobile cloud computing (MCC) and mobile edge computing (MEC) facilitate
    the mobile devices to augment their capabilities by utilizing the
    resources and services offered by Cloud and Edge Cloud, respectively.
    However, due to mobility, network connection becomes unstable that
    causes application execution disruption. Such disruption increases the
    execution time and in some cases restrain the mobile devices from
    getting execution results from the cloud. This research work analyzes
    the impact of user mobility on the execution of cloud-based mobile
    applications. We propose a Process State Synchronization (PSS)based
    execution management to solve the aforementioned problem. We
    analytically compute a sufficient condition on synchronization interval
    that ensure reduction in mobile application execution time under PSS in
    case of disconnection. Similarly, we compute the upper bound on
    synchronization interval whereby a larger synchronization interval did
    not result in significant benefits in terms of execution time for the
    mobile application. The analytical results were confirmed by the sample
    implementation of PSS with the computed synchronization intervals.
    Moreover, we also compare the performance of proposed solution with the
    state-of-the-art solutions. The results show that the PSS-based
    execution outperforms the other contemporary solutions. (C) 2018
    Elsevier B.V. All rights reserved.}","","{Mobile cloud computing; Mobile edge computing; User mobility; Synchronization; Distributed computing; Cloud-based mobile application execution}","",""
7,"","ISI:000442316200014","Ahmed, Syed Hassan; Guizani, Mohsen; Lloret, Jaime; Rawat, Danda B.; Guibene, Wael; Zhong, Zhimeng","IMMINENT COMMUNICATION TECHNOLOGIES FOR SMART COMMUNITIES: PART 2","{IEEE COMMUNICATIONS MAGAZINE}",{56},{7},"{JUL}","{80-81}",{2018},"{445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA}","","","","","","","","{IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC}","","","","","","","","","","",""
7,"","ISI:000454716600001","Ali, Shaukat; Islam, Naveed; Rauf, Azhar; Din, Ikram Ud; Guizani, Mohsen; Rodrigues, Joel J. P. C.","Privacy and Security Issues in Online Social Networks","{FUTURE INTERNET}",{10},{12},"{DEC}","",{2018},"{ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND}","","","","","","","","{MDPI}","","","","","","","{The advent of online social networks (OSN) has transformed a common
    passive reader into a content contributor. It has allowed users to share
    information and exchange opinions, and also express themselves in online
    virtual communities to interact with other users of similar interests.
    However, OSN have turned the social sphere of users into the commercial
    sphere. This should create a privacy and security issue for OSN users.
    OSN service providers collect the private and sensitive data of their
    customers that can be misused by data collectors, third parties, or by
    unauthorized users. In this paper, common security and privacy issues
    are explained along with recommendations to OSN users to protect
